timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user
72865.364;-1000;318;0;0;0;42.10423053745854;1;1
72869.416;-999;317;0;0;0;42.14192940219128;1;1
72873.345;-999;317;0;0;0;42.138517611458596;1;1
72880.636;-997;316;0;0;0;42.19399546480477;1;1
72885.161;-997;315;0;0;0;42.210662850169015;1;1
72889.156;-996;315;0;0;0;42.22778814223933;1;1
72893.342;-996;314;0;0;0;42.24474442217985;1;1
72897.344;-995;313;0;0;0;42.28245337911564;1;1
72905.158;-994;313;0;0;0;42.29624197272309;1;1
72984.707;-994;312;0;0;0;42.24762895718687;1;1
73064.945;-994;312;0;0;0;42.17805332828866;1;1
73072.922;-994;312;0;0;0;42.17114886809558;1;1
73076.911;-995;312;0;0;0;42.14717749237303;1;1
73080.901;-998;314;0;0;0;42.041137653292424;1;1
73084.889;-998;314;0;0;0;42.03769790569584;1;1
73088.91;-998;315;0;0;0;42.01371575497519;1;1
73092.896;-999;316;0;0;0;41.96925487464895;1;1
73121.017;-999;316;0;0;0;41.9450592297653;1;1
73124.978;-998;318;0;0;0;41.921154037507314;1;1
73129.005;-994;321;0;0;0;41.938191346011166;1;1
73133.18;-992;322;0;0;0;41.95509857542047;1;1
73137.183;-988;325;0;0;0;41.972150863075925;1;1
73141.241;-982;329;0;0;0;42.00964553757049;1;1
73145.436;-974;333;0;0;0;42.08799743750895;1;1
73149.216;-967;337;0;0;0;42.14620524747096;1;1
73153.209;-960;342;0;0;0;42.18373238345156;1;1
73157.199;-953;347;0;0;0;42.221255974814746;1;1
73161.27;-945;352;0;0;0;42.27918741859874;1;1
73165.291;-938;358;0;0;0;42.29618772887435;1;1
73169.318;-932;363;0;0;0;42.313180039467994;1;1
73186.275;-927;368;0;0;0;42.29849012611768;1;1
73187.281;-918;378;0;0;0;42.277145750941095;1;1
73189.28;-917;379;0;0;0;42.27541559087847;1;1
73336.821;-918;379;0;0;0;42.12769602711946;1;1
73341.368;-919;379;0;0;0;42.10337781338526;1;1
73345.555;-927;375;0;0;0;42.01815204575444;1;1
73349.154;-934;371;0;0;0;41.95384954117058;1;1
73352.778;-948;367;0;0;0;41.746706692903025;1;1
73356.804;-961;365;0;0;0;41.51885139474777;1;1
73361.364;-978;364;0;0;0;41.18858127676034;1;1
73365.367;-994;364;0;0;0;40.858836839281956;1;1
73369.77;-1012;364;0;0;0;40.48802160351086;1;1
73372.774;-1035;367;0;0;0;39.955251749699414;1;1
73376.798;-1059;373;0;0;0;39.34015085163371;1;1
73380.79;-1083;377;0;0;0;38.76596098207047;1;1
73384.742;-1109;382;0;0;0;38.13072345727477;1;1
73388.763;-1137;385;0;0;0;37.4955355539947;1;1
73392.748;-1162;387;0;0;0;36.942028578940466;1;1
73396.736;-1191;390;0;0;0;36.28668043168592;1;1
73400.729;-1219;391;0;0;0;35.69258755054369;1;1
73404.716;-1249;393;0;0;0;35.037448285623164;1;1
73408.717;-1279;395;0;0;0;34.382405681285945;1;1
73412.665;-1318;398;0;0;0;33.52371474713918;1;1
73416.654;-1360;402;0;0;0;32.583624680659085;1;1
73420.643;-1404;405;0;0;0;31.623311588706883;1;1
73424.66;-1454;409;0;0;0;30.52051785617363;1;1
73428.626;-1500;411;0;0;0;29.540170373849396;1;1
73433.175;-1552;413;0;0;0;28.43741825642733;1;1
73437.233;-1601;415;0;0;0;27.396250754848182;1;1
73440.946;-1648;419;0;0;0;26.355440551148885;1;1
73444.715;-1700;421;0;0;0;25.253661317567826;1;1
73449.346;-1752;423;0;0;0;24.15162725559602;1;1
73452.592;-1795;424;0;0;0;23.25407697726647;1;1
73457.23;-1837;426;0;0;0;22.356011708686264;1;1
73461.298;-1883;428;0;0;0;21.376929130430906;1;1
73464.923;-1921;430;0;0;0;20.561052492998094;1;1
73469.332;-1959;430;0;0;0;19.785692452824968;1;1
73473.285;-1995;430;0;0;0;19.0513560443816;1;1
73477.291;-2022;430;0;0;0;18.500289217117626;1;1
73480.789;-2039;430;0;0;0;18.15300685123377;1;1
73485.184;-2052;430;0;0;0;17.886845252945225;1;1
73489.176;-2061;430;0;0;0;17.702265474893185;1;1
73493.198;-2062;430;0;0;0;17.68047112005927;1;1
73505.242;-2062;430;0;0;0;17.67613968080187;1;1
73513.386;-2062;432;0;0;0;17.63253719275609;1;1
73517.182;-2060;433;0;0;0;17.651511894699052;1;1
73521.029;-2058;434;0;0;0;17.67046534224936;1;1
73525.19;-2057;434;0;0;0;17.689302888158917;1;1
73529.091;-2056;434;0;0;0;17.70823085279241;1;1
73633.376;-2053;434;0;0;0;17.731628835539993;1;1
73637.374;-2049;432;0;0;0;17.85190827770672;1;1
73641.363;-2041;430;0;0;0;18.0533099638307;1;1
73644.81;-2029;429;0;0;0;18.315729341469815;1;1
73665.109;-2029;429;0;0;0;18.308191334183594;1;1
73673.088;-2029;428;0;0;0;18.325501613982066;1;1
73677.076;-2029;426;0;0;0;18.36456011243489;1;1
73681.188;-2031;426;0;0;0;18.32249306542281;1;1
73685.265;-2035;425;0;0;0;18.26017942683344;1;1
73689.319;-2041;424;0;0;0;18.157354757120554;1;1
73692.517;-2048;423;0;0;0;18.03459655685509;1;1
73697.165;-2057;422;0;0;0;17.87080465891472;1;1
73700.649;-2068;421;0;0;0;17.666940686589587;1;1
73705.301;-2080;417;0;0;0;17.50320897229078;1;1
73708.467;-2092;415;0;0;0;17.299515980205058;1;1
73712.49;-2103;412;0;0;0;17.136063136548536;1;1
73716.478;-2114;408;0;0;0;16.99290271873076;1;1
73720.468;-2127;402;0;0;0;16.84976474326062;1;1
73724.457;-2139;396;0;0;0;16.726900722178875;1;1
73730.433;-2151;392;0;0;0;16.56289245120664;1;1
73734.421;-2165;387;0;0;0;16.379337520383316;1;1
73738.392;-2179;384;0;0;0;16.15532825804991;1;1
73742.436;-2191;379;0;0;0;16.012303927212884;1;1
73746.455;-2204;376;0;0;0;15.808586637258783;1;1
73750.451;-2217;373;0;0;0;15.604909753932837;1;1
73754.44;-2229;368;0;0;0;15.461982587217118;1;1
73758.401;-2241;365;0;0;0;15.278614026127887;1;1
73763.383;-2253;362;0;0;0;15.094962999028398;1;1
73766.407;-2264;358;0;0;0;14.95240632878909;1;1
73771.364;-2274;355;0;0;0;14.809287932210687;1;1
73774.388;-2285;352;0;0;0;14.646541724922411;1;1
73778.375;-2295;347;0;0;0;14.544218479973006;1;1
73782.365;-2303;344;0;0;0;14.441910862220306;1;1
73787.326;-2310;341;0;0;0;14.35956288843376;1;1
73791.309;-2317;338;0;0;0;14.2775138156686;1;1
73795.298;-2323;336;0;0;0;14.195476237399644;1;1
73799.213;-2328;333;0;0;0;14.153912761226383;1;1
73803.206;-2331;332;0;0;0;14.112333609420181;1;1
73806.562;-2334;330;0;0;0;14.091159247122096;1;1
73810.592;-2339;327;0;0;0;14.049580829239817;1;1
73814.543;-2340;327;0;0;0;14.0282451641617;1;1
73819.531;-2342;325;0;0;0;14.02683090212714;1;1
73822.55;-2346;322;0;0;0;14.005764716168226;1;1
73826.793;-2348;320;0;0;0;14.004563790272746;1;1
73831.049;-2350;319;0;0;0;13.983152523964083;1;1
73835.006;-2355;317;0;0;0;13.921418783715746;1;1
73838.999;-2358;316;0;0;0;13.8798884558018;1;1
73842.986;-2361;313;0;0;0;13.87877049527736;1;1
73847.011;-2365;310;0;0;0;13.857441709812768;1;1
73850.964;-2367;309;0;0;0;13.83613651439241;1;1
73854.954;-2369;307;0;0;0;13.835021508914096;1;1
73858.952;-2373;305;0;0;0;13.793513486178657;1;1
73863.048;-2375;304;0;0;0;13.772178761103262;1;1
73867.103;-2377;303;0;0;0;13.750858949120591;1;1
73871.096;-2379;301;0;0;0;13.74975034410719;1;1
73875.047;-2381;300;0;0;0;13.728464657168036;1;1
73879.04;-2383;298;0;0;0;13.72735803509504;1;1
73883.029;-2385;296;0;0;0;13.726252699706633;1;1
73887.019;-2386;295;0;0;0;13.725147265279546;1;1
73891.082;-2387;293;0;0;0;13.744204174048205;1;1
73895.096;-2388;292;0;0;0;13.74309081749232;1;1
73898.443;-2389;291;0;0;0;13.742162603523536;1;1
73902.415;-2390;290;0;0;0;13.741061222763566;1;1
