timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user
17623.993;-1050;213;0;0;0;-12.530812372566114;1;1
17627.982;-1047;214;0;0;0;-10.702484314171427;1;1
17631.971;-1045;214;0;0;0;-8.887119364677611;1;1
17635.961;-1045;215;0;0;0;-9.741289073638832;1;1
17639.95;-1045;215;0;0;0;-9.706998657786823;1;1
17643.941;-1044;217;0;0;0;-10.552289231212967;1;1
17647.93;-1044;218;0;0;0;-11.391687398077257;1;1
17651.918;-1044;220;0;0;0;-13.09848048894008;1;1
17655.907;-1045;222;0;0;0;-15.663615162379477;1;1
17659.897;-1048;224;0;0;0;-19.945367038112998;1;1
17663.886;-1051;226;0;0;0;-24.19761152290261;1;1
17667.877;-1054;226;0;0;0;-26.698130269651116;1;1
17671.865;-1056;227;0;0;0;-29.181593623993447;1;1
17675.854;-1058;228;0;0;0;-31.64808695867872;1;1
17679.845;-1060;229;0;0;0;-34.0977480142324;1;1
17683.832;-1063;229;0;0;0;-36.53092172612853;1;1
17687.822;-1066;230;0;0;0;-39.79425523357958;1;1
17691.81;-1069;231;0;0;0;-43.03568671032679;1;1
17695.801;-1072;233;0;0;0;-47.09626307972556;1;1
17699.791;-1075;233;0;0;0;-49.453331142858104;1;1
17703.779;-1080;235;0;0;0;-55.136370623341726;1;1
17707.769;-1084;236;0;0;0;-59.11631926809001;1;1
17711.761;-1088;237;0;0;0;-63.069806657847955;1;1
17715.749;-1093;238;0;0;0;-67.82453627041147;1;1
17719.736;-1096;238;0;0;0;-70.07483167613226;1;1
17723.726;-1100;239;0;0;0;-73.95361793424537;1;1
17728.719;-1106;239;0;0;0;-78.56153823491863;1;1
17731.705;-1110;240;0;0;0;-82.45180651091711;1;1
17735.694;-1117;241;0;0;0;-88.6938167390457;1;1
17739.683;-1123;243;0;0;0;-94.89543658389405;1;1
17743.674;-1131;245;0;0;0;-102.67380370870714;1;1
17747.663;-1138;247;0;0;0;-109.59645938967667;1;1
17752.654;-1145;249;0;0;0;-116.38107820246614;1;1
17755.64;-1152;252;0;0;0;-124.10991173783502;1;1
17759.632;-1159;254;0;0;0;-130.89788767524553;1;1
17764.619;-1168;257;0;0;0;-139.91884706870013;1;1
17767.608;-1175;260;0;0;0;-147.51824348599885;1;1
17772.112;-1182;263;0;0;0;-154.8960181449621;1;1
17775.611;-1188;265;0;0;0;-160.7737314637345;1;1
17780.242;-1195;269;0;0;0;-168.82673273157727;1;1
17784.241;-1201;271;0;0;0;-174.56050674210604;1;1
17788.242;-1208;276;0;0;0;-183.37956839472648;1;1
17792.236;-1215;280;0;0;0;-191.36686506068895;1;1
17796.241;-1222;284;0;0;0;-199.3029824101547;1;1
17800.241;-1230;289;0;0;0;-208.73695587300753;1;1
17804.242;-1237;294;0;0;0;-217.34187800338344;1;1
17808.237;-1244;300;0;0;0;-226.6632859261308;1;1
17812.226;-1252;305;0;0;0;-235.92872807605482;1;1
17816.216;-1259;310;0;0;0;-244.37386452065684;1;1
17820.205;-1267;315;0;0;0;-253.5292335194578;1;1
17824.196;-1275;321;0;0;0;-263.387804765118;1;1
17828.184;-1284;326;0;0;0;-273.1874466962859;1;1
17832.173;-1292;330;0;0;0;-281.41895511329943;1;1
17836.162;-1302;335;0;0;0;-291.8576968064901;1;1
17840.158;-1310;339;0;0;0;-299.98252601785947;1;1
17844.174;-1319;343;0;0;0;-308.80190096356665;1;1
17848.164;-1327;347;0;0;0;-316.82914410656787;1;1
17852.147;-1336;351;0;0;0;-325.553738665081;1;1
17856.107;-1346;355;0;0;0;-334.9736171221913;1;1
17860.133;-1353;358;0;0;0;-341.3660256571296;1;1
17864.125;-1360;361;0;0;0;-347.7292250205912;1;1
17868.077;-1367;365;0;0;0;-354.8000852107865;1;1
17872.1;-1373;369;0;0;0;-361.07878328901023;1;1
17876.098;-1379;374;0;0;0;-368.0575688775194;1;1
17880.295;-1384;379;0;0;0;-374.21335111696135;1;1
17884.295;-1390;384;0;0;0;-381.1119467343425;1;1
17888.241;-1395;389;0;0;0;-387.2619063130205;1;1
17892.277;-1400;394;0;0;0;-393.3512807373352;1;1
17896.295;-1404;398;0;0;0;-397.9711388163633;1;1
17900.295;-1407;401;0;0;0;-401.13437068547336;1;1
17904.412;-1412;405;0;0;0;-406.3920896638322;1;1
17908.41;-1417;411;0;0;0;-413.0807476547501;1;1
17912.297;-1421;416;0;0;0;-418.34157447262635;1;1
